year,title,bechdel_pass,rated,language,country,writer,imdb_rating,director,actors,genre,type,imdb_votes,runtime_mins,award_bn,primary_country,primary_language,primary_genre,primary_director,primary_writer
1996,Chain Reaction,0,PG-13,English,USA,"Arne Schmidt (story), Rick Seaman (story), Josh Friedman (story), J.F. Lawton (screenplay), Michael Bortman (screenplay)",5.5,Andrew Davis,"Keanu Reeves, Morgan Freeman, Rachel Weisz, Fred Ward","Action, Drama, Sci-Fi",movie,NA,107,0,USA,English,Action,Andrew Davis,Arne Schmidt (story)
1996,Poison Ivy II,1,R,English,USA,Chloe King,4.3,Anne Goursaud,"Alyssa Milano, Johnathon Schaech, Xander Berkeley, Belinda Bauer","Drama, Thriller",movie,NA,106,0,USA,English,Drama,Anne Goursaud,Chloe King
1996,The Birdcage,0,R,English,USA,"Jean Poiret (play), Francis Veber (earlier screenplay), Édouard Molinaro (earlier screenplay), Marcello Danon (earlier screenplay), Jean Poiret (earlier screenplay), Elaine May (screenplay)",6.9,Mike Nichols,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest",Comedy,movie,NA,117,1,USA,English,Comedy,Mike Nichols,Jean Poiret (play)
1996,Manny &amp; Lo,1,R,English,USA,Lisa Krueger,6.9,Lisa Krueger,"Mary Kay Place, Scarlett Johansson, Aleksa Palladino, Dean Silvers","Comedy, Drama",movie,NA,88,1,USA,English,Comedy,Lisa Krueger,Lisa Krueger
1996,Hellraiser: Bloodline,0,R,English,USA,Peter Atkins,5,Kevin Yagher,"Bruce Ramsay, Valentina Vargas, Doug Bradley, Charlotte Chatton","Horror, Sci-Fi",movie,NA,85,1,USA,English,Horror,Kevin Yagher,Peter Atkins
1996,Lone Star,0,R,"English, Spanish",USA,John Sayles,7.7,John Sayles,"Stephen Mendillo, Stephen J. Lang, Chris Cooper, Elizabeth Peña","Drama, Mystery, Romance",movie,NA,135,1,USA,English,Drama,John Sayles,John Sayles
1996,The Preacher&#39;s Wife,1,PG,English,USA,"Robert Nathan (novel), Robert E. Sherwood (earlier screenplay), Leonardo Bercovici (earlier screenplay), Nat Mauldin (screenplay), Allan Scott (screenplay)",5.4,Penny Marshall,"Denzel Washington, Whitney Houston, Courtney B. Vance, Gregory Hines","Comedy, Drama, Fantasy",movie,NA,123,1,USA,English,Comedy,Penny Marshall,Robert Nathan (novel)
1996,Welcome to the Discworld,0,NA,English,UK,Terry Pratchett,6.7,NA,Christopher Lee,"Short, Animation, Fantasy",movie,108,8,0,UK,English,Short,NA,Terry Pratchett
1997,Austin Powers: International Man of Mystery,0,PG-13,English,"USA, Germany",Mike Myers,7,Jay Roach,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers","Comedy, Crime, Sci-Fi",movie,NA,89,1,USA,English,Comedy,Jay Roach,Mike Myers
1997,The Fifth Element,0,PG-13,"English, Swedish, German",France,"Luc Besson (story), Luc Besson (screenplay), Robert Mark Kamen (screenplay)",7.6,Luc Besson,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich","Action, Adventure, Sci-Fi",movie,NA,126,1,France,English,Action,Luc Besson,Luc Besson (story)
1997,The Game,0,R,"English, Cantonese, German",USA,"John D. Brancato, Michael Ferris",7.8,David Fincher,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn","Drama, Mystery, Thriller",movie,NA,129,0,USA,English,Drama,David Fincher,John D. Brancato
1997,Murder at 1600,0,R,English,USA,"Wayne Beach, David Hodgin",6,Dwight H. Little,"Wesley Snipes, Diane Lane, Daniel Benzali, Dennis Miller","Action, Crime, Drama",movie,NA,107,0,USA,English,Action,Dwight H. Little,Wayne Beach
1997,Gattaca,0,PG-13,"English, Esperanto",USA,Andrew Niccol,7.8,Andrew Niccol,"Ethan Hawke, Uma Thurman, Gore Vidal, Xander Berkeley","Drama, Romance, Sci-Fi",movie,NA,106,1,USA,English,Drama,Andrew Niccol,Andrew Niccol
1997,Men in Black,0,PG-13,"English, Spanish",USA,"Lowell Cunningham (comic), Ed Solomon (screen story), Ed Solomon (screenplay)",7.2,Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio","Comedy, Sci-Fi",movie,NA,98,1,USA,English,Comedy,Barry Sonnenfeld,Lowell Cunningham (comic)
1997,The Devil&#39;s Advocate,1,R,"English, German, Italian, Mandarin, Spanish","USA, Germany","Andrew Neiderman (novel), Jonathan Lemkin (screenplay), Tony Gilroy (screenplay)",7.5,Taylor Hackford,"Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones","Drama, Mystery, Thriller",movie,NA,144,1,USA,English,Drama,Taylor Hackford,Andrew Neiderman (novel)
1997,Starship Troopers,1,R,English,USA,"Edward Neumeier (screenplay), Robert A. Heinlein (book)",7.2,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey","Action, Sci-Fi",movie,NA,129,1,USA,English,Action,Paul Verhoeven,Edward Neumeier (screenplay)
1997,Alien: Resurrection,1,R,English,USA,"Dan O'Bannon (characters), Ronald Shusett (characters), Joss Whedon",6.3,Jean-Pierre Jeunet,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman","Action, Sci-Fi, Thriller",movie,NA,109,1,USA,English,Action,Jean-Pierre Jeunet,Dan O'Bannon (characters)
1997,Conspiracy Theory,0,R,English,USA,Brian Helgeland,6.7,Richard Donner,"Mel Gibson, Julia Roberts, Patrick Stewart, Cylk Cozart","Action, Crime, Mystery",movie,NA,135,1,USA,English,Action,Richard Donner,Brian Helgeland
1997,Mononoke-hime,1,PG-13,Japanese,Japan,Hayao Miyazaki,8.5,Hayao Miyazaki,"Billy Crudup, Billy Bob Thornton, Minnie Driver, John DiMaggio","Animation, Adventure, Fantasy",movie,NA,134,1,Japan,Japanese,Animation,Hayao Miyazaki,Hayao Miyazaki
1997,Wilde,1,R,English,"UK, Germany, Japan","Richard Ellmann (book), Julian Mitchell",6.9,Brian Gilbert,"Stephen Fry, Jude Law, Vanessa Redgrave, Jennifer Ehle","Biography, Drama, History",movie,NA,118,1,UK,English,Biography,Brian Gilbert,Richard Ellmann (book)
1997,Titanic,1,PG-13,"English, French, German, Swedish, Italian, Russian",USA,James Cameron,7.7,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates","Drama, Romance",movie,NA,194,1,USA,English,Drama,James Cameron,James Cameron
1997,Dante's Peak,1,PG-13,English,USA,Leslie Bohem,5.8,Roger Donaldson,"Pierce Brosnan, Linda Hamilton, Jamie Renée Smith, Jeremy Foley","Action, Adventure, Thriller",movie,NA,108,1,USA,English,Action,Roger Donaldson,Leslie Bohem
1997,Liar Liar,0,PG-13,English,USA,"Paul Guay, Stephen Mazur",6.8,Tom Shadyac,"Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes","Comedy, Drama, Fantasy",movie,NA,86,1,USA,English,Comedy,Tom Shadyac,Paul Guay
1997,Flubber,0,PG,English,USA,"Samuel W. Taylor (short story ""A Situation of Gravity""), John Hughes (screenplay), Bill Walsh (screenplay)",4.9,Les Mayfield,"Robin Williams, Marcia Gay Harden, Christopher McDonald, Ted Levine","Comedy, Family, Sci-Fi",movie,NA,93,1,USA,English,Comedy,Les Mayfield,"Samuel W. Taylor (short story ""A Situation of Gravity"")"
1997,G.I. Jane,1,R,English,"USA, UK","Danielle Alexandra (story), David Twohy (screenplay), Danielle Alexandra (screenplay)",5.8,Ridley Scott,"Demi Moore, Viggo Mortensen, Anne Bancroft, Jason Beghe","Action, Drama",movie,NA,125,1,USA,English,Action,Ridley Scott,Danielle Alexandra (story)
1997,Con Air,0,R,English,USA,Scott Rosenberg,6.8,Simon West,"Colm Meaney, Mykelti Williamson, Nick Chinlund, Renoly Santiago","Action, Crime, Thriller",movie,NA,115,1,USA,English,Action,Simon West,Scott Rosenberg
1997,La vita &egrave; bella,0,PG-13,"Italian, German, English",Italy,"Vincenzo Cerami (story), Roberto Benigni (story)",8.6,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano","Comedy, Drama, Romance",movie,NA,116,1,Italy,Italian,Comedy,Roberto Benigni,Vincenzo Cerami (story)
1997,Good Will Hunting,0,R,English,USA,"Matt Damon, Ben Affleck",8.2,Gus Van Sant,"Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård",Drama,movie,NA,126,1,USA,English,Drama,Gus Van Sant,Matt Damon
1997,The Postman,0,R,English,USA,"David Brin (novel), Eric Roth (screenplay), Brian Helgeland (screenplay)",5.9,Kevin Costner,"Kevin Costner, Will Patton, Larenz Tate, Olivia Williams","Action, Adventure, Drama",movie,NA,177,1,USA,English,Action,Kevin Costner,David Brin (novel)
1997,Event Horizon,1,R,"English, Latin","UK, USA",Philip Eisner,6.7,Paul W.S. Anderson,"Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson","Horror, Sci-Fi",movie,NA,96,1,UK,English,Horror,Paul W.S. Anderson,Philip Eisner
1997,Hercules,1,G,"English, Spanish, Greek",USA,"Ron Clements (animation screenplay), John Musker (animation screenplay), Don McEnery (animation screenplay), Bob Shaw (animation screenplay), Irene Mecchi (animation screenplay), Kaan Kalyon (story), Kelly Wightman (story), Randy Cartwright (story), John Ramirez (story), Jeff Snow (story), Vance Gerry (story), Kirk Hanson (story), Tamara Lusher (story), Francis Glebas (story), Mark Kennedy (story), Bruce Morris (story), Don Dougherty (story), Thom Enriquez (story)",7.2,"Ron Clements, John Musker","Tate Donovan, Josh Keaton, Roger Bart, Danny DeVito","Animation, Adventure, Family",movie,NA,93,1,USA,English,Animation,Ron Clements,Ron Clements (animation screenplay)
1997,Romy and Michelle’s High School Reunion,1,R,English,USA,"Robin Schiff (play), Robin Schiff (screenplay)",6.1,David Mirkin,"Mira Sorvino, Lisa Kudrow, Janeane Garofalo, Alan Cumming",Comedy,movie,NA,92,0,USA,English,Comedy,David Mirkin,Robin Schiff (play)
1997,Cube,1,R,"English, German",Canada,"André Bijelic, Vincenzo Natali, Graeme Manson",7.4,Vincenzo Natali,"Maurice Dean Wint, David Hewlett, Nicole de Boer, Nicky Guadagni","Mystery, Sci-Fi, Thriller",movie,NA,90,1,Canada,English,Mystery,Vincenzo Natali,André Bijelic
1997,Contact,1,PG,"English, Spanish, German, Russian",USA,"Carl Sagan (novel), Carl Sagan (story), Ann Druyan (story), James V. Hart (screenplay), Michael Goldenberg (screenplay)",7.4,Robert Zemeckis,"Jena Malone, David Morse, Jodie Foster, Geoffrey Blake","Drama, Mystery, Sci-Fi",movie,NA,150,1,USA,English,Drama,Robert Zemeckis,Carl Sagan (novel)
1997,Career Girls,0,R,English,"UK, France",Mike Leigh,7.1,Mike Leigh,"Katrin Cartlidge, Lynda Steadman, Kate Byers, Mark Benton",Drama,movie,NA,87,1,UK,English,Drama,Mike Leigh,Mike Leigh
1997,As Good as It Gets,1,PG-13,English,USA,"Mark Andrus (story), Mark Andrus (screenplay), James L. Brooks (screenplay)",7.8,James L. Brooks,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr.","Comedy, Drama, Romance",movie,NA,139,1,USA,English,Comedy,James L. Brooks,Mark Andrus (story)
1997,Grosse Pointe Blank,1,R,English,USA,"Tom Jankiewicz (story), Tom Jankiewicz (screenplay), D.V. DeVincentis (screenplay), Steve Pink (screenplay), John Cusack (screenplay)",7.4,George Armitage,"John Cusack, Minnie Driver, Alan Arkin, Dan Aykroyd","Action, Comedy, Crime",movie,NA,107,1,USA,English,Action,George Armitage,Tom Jankiewicz (story)
1997,Batman &amp; Robin,0,PG-13,English,"USA, UK","Bob Kane (Batman characters), Akiva Goldsman",3.6,Joel Schumacher,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman","Action, Crime, Fantasy",movie,NA,125,1,USA,English,Action,Joel Schumacher,Bob Kane (Batman characters)
1997,Jungle 2 Jungle,0,PG,English,"USA, France","Hervé Palud (earlier screenplay Un indien dans la ville), Thierry Lhermitte (earlier screenplay Un indien dans la ville), Igor Aptekman (earlier screenplay Un indien dans la ville), Philippe Bruneau (earlier screenplay Un indien dans la ville), Bruce A. Evans (screenplay), Raynold Gideon (screenplay)",5,John Pasquin,"Tim Allen, Martin Short, JoBeth Williams, Lolita Davidovich","Comedy, Family",movie,NA,105,0,USA,English,Comedy,John Pasquin,Hervé Palud (earlier screenplay Un indien dans la ville)
1997,For Richer or Poorer,1,PG-13,English,USA,"Jana Howington, Steve LuKanic",5.6,Bryan Spicer,"Tim Allen, Kirstie Alley, Jay O. Sanders, Michael Lerner",Comedy,movie,NA,115,0,USA,English,Comedy,Bryan Spicer,Jana Howington
1997,Air Force One,0,R,"English, Russian","USA, Germany",Andrew W. Marlowe,6.4,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson","Action, Adventure, Drama",movie,NA,124,1,USA,English,Action,Wolfgang Petersen,Andrew W. Marlowe
1997,The Winter Guest,1,R,English,"UK, USA","Josep Llurba (translation and adaptation), Sharman Macdonald (play), Sharman Macdonald (screenplay), Alan Rickman",7.1,Alan Rickman,"Phyllida Law, Emma Thompson, Sheila Reid, Sandra Voe",Drama,movie,NA,108,1,UK,English,Drama,Alan Rickman,Josep Llurba (translation and adaptation)
1997,The Inheritance,1,NA,English,"USA, Canada","Maria Nation (teleplay), Louisa May Alcott (novel)",7.1,Bobby Roth,"Cari Shayne, Brigitta Dau, Paul Anthony Stewart, Brigid Brannagh","Drama, Romance",movie,791,95,1,USA,English,Drama,Bobby Roth,Maria Nation (teleplay)
1997,Wild America,0,PG,English,USA,David Michael Wieger,6.2,William Dear,"Jonathan Taylor Thomas, Devon Sawa, Scott Bairstow, Frances Fisher","Action, Adventure, Comedy",movie,NA,106,1,USA,English,Action,William Dear,David Michael Wieger
1997,Funny Games,1,Unrated,"German, French, Italian",Austria,Michael Haneke,7.6,Michael Haneke,"Susanne Lothar, Ulrich Mühe, Arno Frisch, Frank Giering","Crime, Drama, Thriller",movie,NA,108,1,Austria,German,Crime,Michael Haneke,Michael Haneke
1997,My Best Friend’s Wedding,0,PG-13,"English, French, Italian",USA,Ronald Bass,6.3,P.J. Hogan,"Julia Roberts, Dermot Mulroney, Cameron Diaz, Rupert Everett","Comedy, Romance",movie,NA,105,1,USA,English,Comedy,P.J. Hogan,Ronald Bass
1997,Anastasia,1,G,"English, Russian, French",USA,"Susan Gauthier (screenplay), Bruce Graham (screenplay), Bob Tzudiker (screenplay), Noni White (screenplay), Eric Tuchman (animation adaptation)",7,"Don Bluth, Gary Goldman","Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd","Animation, Adventure, Drama",movie,NA,94,1,USA,English,Animation,Don Bluth,Susan Gauthier (screenplay)
1997,Air Bud,0,PG,English,"USA, Canada","Kevin DiCicco (character ""Air Bud""), Paul Tamasy, Aaron Mendelsohn",5,Charles Martin Smith,"Michael Jeter, Kevin Zegers, Wendy Makkena, Bill Cobbs","Comedy, Drama, Family",movie,NA,98,1,USA,English,Comedy,Charles Martin Smith,"Kevin DiCicco (character ""Air Bud"")"
1997,Good Burger,0,PG,English,USA,"Dan Schneider (characters), Kevin Kopelow (characters), Heath Seifert (characters), Dan Schneider, Kevin Kopelow, Heath Seifert",5.6,Brian Robbins,"Kel Mitchell, Kenan Thompson, Sinbad, Abe Vigoda","Family, Comedy",movie,NA,103,0,USA,English,Family,Brian Robbins,Dan Schneider (characters)
1997,Cinderella,1,G,English,USA,"Oscar Hammerstein II (book), Robert L. Freedman (teleplay)",6.3,Robert Iscove,"Brandy Norwood, Bernadette Peters, Veanne Cox, Natalie Desselle","Musical, Romance, Fantasy",movie,NA,88,1,USA,English,Musical,Robert Iscove,Oscar Hammerstein II (book)
1997,Spice World,1,PG,English,UK,"Spice Girls (idea), Kim Fuller (idea), Kim Fuller, Jamie Curtis (additional writing)",3.2,Bob Spiers,"Melanie Brown, Emma Bunton, Melanie Chisholm, Geri Halliwell","Comedy, Family, Music",movie,NA,93,1,UK,English,Comedy,Bob Spiers,Spice Girls (idea)
1997,Taste of Cherry,0,Not Rated,Persian,"Iran, France",Abbas Kiarostami,7.7,Abbas Kiarostami,"Homayoun Ershadi, Abdolrahman Bagheri, Afshin Khorshid Bakhtiari, Safar Ali Moradi",Drama,movie,NA,95,1,Iran,Persian,Drama,Abbas Kiarostami,Abbas Kiarostami
1997,Fierce Creatures,0,PG-13,English,"UK, USA","John Cleese, Iain Johnstone",6.3,"Fred Schepisi, Robert Young","John Cleese, Jamie Lee Curtis, Kevin Kline, Robert Lindsay",Comedy,movie,NA,93,0,UK,English,Comedy,Fred Schepisi,John Cleese
1997,The Castle,1,R,English,Australia,"Santo Cilauro (written and conceived by), Tom Gleisner (written and conceived by), Jane Kennedy (written and conceived by), Rob Sitch (written and conceived by)",7.8,Rob Sitch,"Michael Caton, Anne Tenney, Stephen Curry, Anthony Simcoe",Comedy,movie,NA,85,1,Australia,English,Comedy,Rob Sitch,Santo Cilauro (written and conceived by)
1997,Clockwatchers,1,PG-13,English,"UK, USA","Jill Sprecher, Karen Sprecher",6.4,Jill Sprecher,"Toni Collette, Parker Posey, Lisa Kudrow, Alanna Ubach","Comedy, Drama",movie,NA,96,1,UK,English,Comedy,Jill Sprecher,Jill Sprecher
1997,Cats Don’t Dance,1,G,English,USA,"Mark Dindal (story), Robert Lence (story), Brian McEntee (story), Rick Schneider-Calabash (story), David Womersley (story), Kelvin Yasuda (story), Roberts Gannaway (screenplay), Cliff Ruby (screenplay), Elana Lesser (screenplay), Theresa Cullen (screenplay), Cinco Paul (additional screenplay material)",6.9,Mark Dindal,"Scott Bakula, Jasmine Guy, Natalie Cole, Ashley Peldon","Animation, Comedy, Family",movie,NA,75,1,USA,English,Animation,Mark Dindal,Mark Dindal (story)
1997,Eve’s Bayou,1,R,English,USA,Kasi Lemmons,7.3,Kasi Lemmons,"Jurnee Smollett-Bell, Meagan Good, Samuel L. Jackson, Lynn Whitfield",Drama,movie,NA,109,1,USA,English,Drama,Kasi Lemmons,Kasi Lemmons
1997,Jackie Brown,1,R,English,USA,"Quentin Tarantino (written for the screen by), Elmore Leonard (novel)",7.5,Quentin Tarantino,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda","Crime, Drama, Thriller",movie,NA,154,1,USA,English,Crime,Quentin Tarantino,Quentin Tarantino (written for the screen by)
1997,L.A. Confidential,0,R,English,USA,"James Ellroy (novel), Brian Helgeland (screenplay), Curtis Hanson (screenplay)",8.3,Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell","Crime, Drama, Mystery",movie,NA,138,1,USA,English,Crime,Curtis Hanson,James Ellroy (novel)
1997,Boogie Nights,1,R,English,USA,Paul Thomas Anderson,7.9,Paul Thomas Anderson,"Luis Guzmán, Burt Reynolds, Julianne Moore, Rico Bueno",Drama,movie,NA,155,1,USA,English,Drama,Paul Thomas Anderson,Paul Thomas Anderson
1997,Volcano,1,PG-13,"English, Spanish, German",USA,"Jerome Armstrong (story), Jerome Armstrong (screenplay), Billy Ray (screenplay)",5.4,Mick Jackson,"Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle","Action, Drama, Sci-Fi",movie,NA,104,1,USA,English,Action,Mick Jackson,Jerome Armstrong (story)
1997,Chasing Amy,1,R,English,USA,Kevin Smith,7.4,Kevin Smith,"Ethan Suplee, Ben Affleck, Scott Mosier, Jason Lee","Comedy, Drama, Romance",movie,NA,113,1,USA,English,Comedy,Kevin Smith,Kevin Smith
1997,Paradise Road,1,R,"English, Japanese, Dutch, Malay","Australia, USA","David Giles (story), Martin Meader (story), Bruce Beresford, Betty Jeffrey (diaries)",6.8,Bruce Beresford,"Glenn Close, Frances McDormand, Pauline Collins, Cate Blanchett","Drama, History, War",movie,NA,122,1,Australia,English,Drama,Bruce Beresford,David Giles (story)
1997,The Well,1,NA,English,Australia,"Elizabeth Jolley (novel), Laura Jones",6.1,Samantha Lang,"Pamela Rabe, Miranda Otto, Paul Chubb, Frank Wilson",Drama,movie,287,101,1,Australia,English,Drama,Samantha Lang,Elizabeth Jolley (novel)
1997,Vegas Vacation,1,PG,English,USA,"Elisa Bell (story), Bob Ducsay (story), Elisa Bell (screenplay)",5.9,Stephen Kessler,"Chevy Chase, Beverly D'Angelo, Randy Quaid, Ethan Embry",Comedy,movie,NA,93,0,USA,English,Comedy,Stephen Kessler,Elisa Bell (story)
1997,Selena,1,PG,"English, Spanish",USA,Gregory Nava,6.6,Gregory Nava,"Jennifer Lopez, Jackie Guerra, Constance Marie, Alex Meneses","Biography, Drama, Music",movie,NA,127,1,USA,English,Biography,Gregory Nava,Gregory Nava
