year,title,bechdel_pass,rated,language,country,writer,imdb_rating,director,actors,genre,type,imdb_votes,runtime_mins,award_bn,primary_country,primary_language,primary_genre,primary_director,primary_writer
1903,The Music Lover,0,NA,French,France,NA,7,Georges Méliès,Georges Méliès,"Short, Comedy, Music",movie,881,3,0,France,French,Short,Georges Méliès,NA
1909,The Princess Nicotine; or Smoke Fairy,0,Unrated,English,USA,NA,6.7,J. Stuart Blackton,"Paul Panzer, Gladys Hulette","Comedy, Short, Fantasy",movie,550,5,1,USA,English,Comedy,J. Stuart Blackton,NA
1912,Cleopatra,0,Unrated,English,USA,Victorien Sardou (adapted from the play by),5.2,Charles L. Gaskill,"Helen Gardner, Pearl Sindelar, Miss Fielding, Miss Robson","Drama, History",movie,269,88,0,USA,English,Drama,Charles L. Gaskill,Victorien Sardou (adapted from the play by)
1912,The Invaders,0,Not Rated,English,USA,NA,6.2,"Francis Ford, Thomas H. Ince","Francis Ford, Ethel Grandin, Ann Little, Ray Myers","Short, Western",movie,176,41,0,USA,English,Short,Francis Ford,NA
1914,A Florida Enchantment,0,Unrated,English,USA,"Marguerite Bertsch, Archibald Clavering Gunter (novel), Eugene Mullin, Fergus Redmund (novel)",6.2,Sidney Drew,"Sidney Drew, Edith Storey, Charles Kent, Mrs. Sidney Drew",Comedy,movie,100,63,0,USA,English,Comedy,Sidney Drew,Marguerite Bertsch
1916,Gretchen the Greenhorn,1,Not Rated,English,USA,Bernard McConville (story),7,"Chester M. Franklin, Sidney Franklin","Dorothy Gish, Ralph Lewis, Eugene Pallette, Elmo Lincoln","Crime, Drama, Romance",movie,390,58,0,USA,English,Crime,Chester M. Franklin,Bernard McConville (story)
1917,Rebecca of Sunnybrook Farm,1,NA,English,USA,"Frances Marion, Charlotte Thompson (play), Kate Douglas Wiggin (novel)",7.6,Marshall Neilan,"Mary Pickford, Eugene O'Brien, Helen Jerome Eddy, Charles Ogle","Comedy, Drama",movie,522,78,0,USA,English,Comedy,Marshall Neilan,Frances Marion
1917,The Poor Little Rich Girl,1,NA,English,USA,"Eleanor Gates (play), Frances Marion (scenario)",6.9,Maurice Tourneur,"Mary Pickford, Madlaine Traverse, Charles Wellesley, Gladys Fairbanks","Comedy, Drama, Family",movie,753,65,1,USA,English,Comedy,Maurice Tourneur,Eleanor Gates (play)
1917,"Raffles, the Amateur Cracksman",0,NA,English,USA,"E.W. Hornung (stories), Anthony Paul Kelly, Eugene Wiley Presbrey (play)",7,George Irving,"John Barrymore, Christine Mayo, H. Cooper Cliffe, Frank Morgan","Adventure, Crime, Romance",movie,43,70,0,USA,English,Adventure,George Irving,E.W. Hornung (stories)
1920,Pollyanna,1,TV-G,English,USA,"Eleanor H. Porter (based on the book by), Catherine Chisholm Cushing (based on: the 4-act comedy by), Frances Marion (adaptation)",7.1,Paul Powell,"Mary Pickford, Wharton James, Katherine Griffith, Helen Jerome Eddy","Family, Comedy, Drama",movie,183,58,0,USA,English,Family,Paul Powell,Eleanor H. Porter (based on the book by)
1921,Orphans of the Storm,1,Not Rated,English,USA,"Adolphe d'Ennery (novel), Eugène Cormon (novel), D.W. Griffith",8.1,D.W. Griffith,"Lillian Gish, Dorothy Gish, Joseph Schildkraut, Frank Losee",Drama,movie,NA,150,0,USA,English,Drama,D.W. Griffith,Adolphe d'Ennery (novel)
1921,The Kid,0,Not Rated,English,USA,Charles Chaplin,8.4,Charles Chaplin,"Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin","Comedy, Drama, Family",movie,NA,68,1,USA,English,Comedy,Charles Chaplin,Charles Chaplin
1921,The Blot,1,NA,English,USA,"Marion Orth, Lois Weber",6.8,Lois Weber,"Philip Hubbard, Margaret McWade, Claire Windsor, Louis Calhern",Drama,movie,235,80,0,USA,English,Drama,Lois Weber,Marion Orth
1922,"Nosferatu, eine Symphonie des Grauens",0,Unrated,German,Germany,Henrik Galeen (screen play),8,F.W. Murnau,"Max Schreck, Gustav von Wangenheim, Greta Schröder, Alexander Granach",Horror,movie,NA,81,0,Germany,German,Horror,F.W. Murnau,Henrik Galeen (screen play)
1922,The Phantom,0,TV-PG,German,Germany,"Gerhart Hauptmann (based on the novel by), Thea von Harbou (adapted for the screen by)",7.1,F.W. Murnau,"Alfred Abel, Frida Richard, Aud Egede-Nissen, Hans Heinrich von Twardowski","Drama, Fantasy, Romance",movie,830,125,0,Germany,German,Drama,F.W. Murnau,Gerhart Hauptmann (based on the novel by)
1922,Nathan der Weise,0,NA,German,Germany,"Gotthold Ephraim Lessing (based on the play by), Hans Kyser (adaptation)",7.3,Manfred Noa,"Fritz Greiner, Carl de Vogt, Lia Eibenschütz, Werner Krauss","Drama, History",movie,75,128,0,Germany,German,Drama,Manfred Noa,Gotthold Ephraim Lessing (based on the play by)
1922,The Man from Beyond,0,NA,English,USA,"Harry Houdini (story), Coolidge Streeter (adaptation)",5.8,Burton L. King,"Harry Houdini, Arthur Maude, Albert Tavernier, Erwin Connelly",Mystery,movie,114,74,0,USA,English,Mystery,Burton L. King,Harry Houdini (story)
1922,H&auml;xan: Witchcraft Through the Ages,1,Not Rated,"Swedish, Danish",Sweden,Benjamin Christensen,7.7,Benjamin Christensen,"Maren Pedersen, Clara Pontoppidan, Elith Pio, Oscar Stribolt",Horror,movie,NA,91,0,Sweden,Swedish,Horror,Benjamin Christensen,Benjamin Christensen
1923,Safety Last!,0,Not Rated,English,USA,"Hal Roach (story), Sam Taylor (story), Tim Whelan (story), H.M. Walker (titles)",8.3,"Fred C. Newmeyer, Sam Taylor","Harold Lloyd, Mildred Davis, Bill Strother, Noah Young","Comedy, Romance, Thriller",movie,NA,70,1,USA,English,Comedy,Fred C. Newmeyer,Hal Roach (story)
1923,Why Worry?,0,TV-G,English,USA,"Sam Taylor (story), Ted Wilde (story), Tim Whelan (story), H.M. Walker (titles)",7.6,"Fred C. Newmeyer, Sam Taylor","Harold Lloyd, Jobyna Ralston, John Aasen, Wallace Howe","Adventure, Comedy, Family",movie,909,63,0,USA,English,Adventure,Fred C. Newmeyer,Sam Taylor (story)
1923,The Silent Command,0,NA,English,USA,"Anthony Paul Kelly, Rufus King (story)",5.7,J. Gordon Edwards,"Edmund Lowe, Alma Tell, Martha Mansfield, Betty Jewel",Drama,movie,36,80,0,USA,English,Drama,J. Gordon Edwards,Anthony Paul Kelly
1924,Die Nibelungen,0,Unrated,German,Germany,"Fritz Lang, Thea von Harbou",7.9,Fritz Lang,"Gertrud Arnold, Margarete Schön, Hanna Ralph, Paul Richter","Fantasy, Drama, Adventure",movie,NA,100,0,Germany,German,Fantasy,Fritz Lang,Fritz Lang
1924,Wild Oranges,0,NA,English,USA,"Joseph Hergesheimer (novel), King Vidor (adaptation), Tom Miranda (titles)",7.1,King Vidor,"Frank Mayo, Virginia Valli, Ford Sterling, Nigel De Brulier","Drama, Romance",movie,308,88,1,USA,English,Drama,King Vidor,Joseph Hergesheimer (novel)
1924,Girl Shy,0,Not Rated,English,USA,"Sam Taylor (story), Ted Wilde (story), Tim Whelan (story), Thomas J. Gray (titles)",8.1,"Fred C. Newmeyer, Sam Taylor","Harold Lloyd, Jobyna Ralston, Richard Daniels, Carlton Griffin","Action, Comedy, Romance",movie,NA,87,0,USA,English,Action,Fred C. Newmeyer,Sam Taylor (story)
1924,The Great White Silence,0,NA,English,UK,NA,7.7,Herbert G. Ponting,"Robert Falcon Scott, Herbert G. Ponting",Documentary,movie,233,108,0,UK,English,Documentary,Herbert G. Ponting,NA
1925,Battleship Potemkin,0,Unrated,Russian,Soviet Union,Nina Agadzhanova (script),8,Sergei M. Eisenstein,"Aleksandr Antonov, Vladimir Barsky, Grigori Aleksandrov, Ivan Bobrov","Drama, History",movie,NA,66,0,Soviet Union,Russian,Drama,Sergei M. Eisenstein,Nina Agadzhanova (script)
1925,The Gold Rush,0,Not Rated,English,USA,Charles Chaplin,8.3,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman","Adventure, Comedy, Family",movie,NA,95,1,USA,English,Adventure,Charles Chaplin,Charles Chaplin
1925,Go West,0,Not Rated,English,USA,"Buster Keaton, Lex Neal (assistant writer), Raymond Cannon (scenario)",7.3,Buster Keaton,"Howard Truesdale, Kathleen Myers, Ray Thompson, Brown Eyes","Comedy, Western",movie,NA,68,0,USA,English,Comedy,Buster Keaton,Buster Keaton
1925,The Freshman,0,Not Rated,English,USA,"Sam Taylor (story), Ted Wilde (story), John Grey (story), Tim Whelan (story)",7.6,"Fred C. Newmeyer, Sam Taylor","Harold Lloyd, Jobyna Ralston, Brooks Benedict, James Anderson","Comedy, Family, Sport",movie,NA,76,1,USA,English,Comedy,Fred C. Newmeyer,Sam Taylor (story)
1925,Seven Chances,0,Not Rated,English,USA,"Roi Cooper Megrue (adapted from David Belasco's famous comedy by), Clyde Bruckman (screen version), Jean C. Havez (screen version), Joseph A. Mitchell (screen version)",8,Buster Keaton,"Buster Keaton, T. Roy Barnes, Snitz Edwards, Ruth Dwyer","Comedy, Family, Romance",movie,NA,56,1,USA,English,Comedy,Buster Keaton,Roi Cooper Megrue (adapted from David Belasco's famous comedy by)
1926,The Temptress,0,NA,English,USA,"Vicente Blasco Ibáñez, Dorothy Farnum (scenario), Marian Ainslee (titles)",7.2,"Fred Niblo, Mauritz Stiller","Greta Garbo, Antonio Moreno, Marc McDermott, Lionel Barrymore","Drama, Romance",movie,629,117,0,USA,English,Drama,Fred Niblo,Vicente Blasco Ibáñez
1926,The General,0,Unrated,English,USA,"Buster Keaton, Clyde Bruckman, Al Boasberg (adapted by), Charles Henry Smith (adapted by)",8.3,"Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley","Action, Adventure, Comedy",movie,NA,107,1,USA,English,Action,Clyde Bruckman,Buster Keaton
1926,For Heaven’s Sake,0,NA,English,USA,"Ted Wilde (story), John Grey (story), Clyde Bruckman (story), Ralph Spence (titles)",7.6,Sam Taylor,"Harold Lloyd, Jobyna Ralston, Noah Young, Jim Mason","Action, Comedy, Romance",movie,789,58,0,USA,English,Action,Sam Taylor,Ted Wilde (story)
1926,So’s Your Old Man,1,NA,English,USA,"J. Clarkson Miller, Howard Emmett Rogers (adaptation), Julian Street (story)",6.9,Gregory La Cava,"W.C. Fields, Alice Joyce, Charles 'Buddy' Rogers, Kittens Reichert",Comedy,movie,88,67,1,USA,English,Comedy,Gregory La Cava,J. Clarkson Miller
1927,Metropolis,0,Not Rated,German,Germany,"Thea von Harbou (screenplay), Thea von Harbou (novel)",8.4,Fritz Lang,"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp","Drama, Sci-Fi",movie,NA,153,1,Germany,German,Drama,Fritz Lang,Thea von Harbou (screenplay)
1927,The Unknown,0,Unrated,English,USA,"Tod Browning (story), Waldemar Young (scenario), Joseph Farnham (titles)",7.9,Tod Browning,"Lon Chaney, Norman Kerry, Joan Crawford, Nick De Ruiz","Drama, Horror, Romance",movie,NA,63,0,USA,English,Drama,Tod Browning,Tod Browning (story)
1927,The Kid Brother,0,Not Rated,English,USA,"John Grey (story), Ted Wilde (story), Thomas J. Crizer (story), John Grey (scenario), Lex Neal (scenario), Howard J. Green (scenario)",7.6,"Ted Wilde, J.A. Howe, Harold Lloyd, Lewis Milestone","Harold Lloyd, Jobyna Ralston, Walter James, Leo Willis","Comedy, Drama, Family",movie,NA,82,0,USA,English,Comedy,Ted Wilde,John Grey (story)
1927,My Best Girl,1,Unrated,English,USA,"Kathleen Norris (from the story by), Allen McNeil (screen play), Tim Whelan (screen play), Hope Loring (adaptation)",7.8,Sam Taylor,"Mary Pickford, Charles 'Buddy' Rogers, Sunshine Hart, Lucien Littlefield","Comedy, Romance",movie,577,80,0,USA,English,Comedy,Sam Taylor,Kathleen Norris (from the story by)
1927,Wings,0,PG-13,English,USA,"John Monk Saunders (story), Hope Loring (screenplay), Louis D. Lighton (screenplay), Julian Johnson (titles)",7.9,"William A. Wellman, Harry d'Abbadie d'Arrast","Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston","Drama, Romance, War",movie,NA,144,1,USA,English,Drama,William A. Wellman,John Monk Saunders (story)
1928,The Passion of Joan of Arc,0,Not Rated,French,France,"Joseph Delteil, Carl Theodor Dreyer",8.3,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz","Biography, Drama, History",movie,NA,114,0,France,French,Biography,Carl Theodor Dreyer,Joseph Delteil
1928,Speedy,0,NA,English,USA,"John Grey (story), Lex Neal (story), Howard Emmett Rogers (story)",7.8,Ted Wilde,"Harold Lloyd, Ann Christy, Bert Woodruff, Brooks Benedict","Action, Comedy, Family",movie,NA,85,0,USA,English,Action,Ted Wilde,John Grey (story)
1928,The Cameraman,0,Not Rated,English,USA,"Clyde Bruckman (story), Lew Lipton (story), Richard Schayer (continuity), Joseph Farnham (titles)",8.3,"Edward Sedgwick, Buster Keaton","Buster Keaton, Marceline Day, Harold Goodwin, Sidney Bracey","Comedy, Romance, Family",movie,NA,69,1,USA,English,Comedy,Edward Sedgwick,Clyde Bruckman (story)
1928,"Steamboat Bill, Jr.",0,Not Rated,English,USA,Carl Harbaugh (story),8,"Charles Reisner, Buster Keaton","Buster Keaton, Tom McGuire, Ernest Torrence, Tom Lewis","Action, Comedy, Drama",movie,NA,70,0,USA,English,Action,Charles Reisner,Carl Harbaugh (story)
1928,The Racket,0,NA,English,USA,"Bartlett Cormack (from the stage success of), Bartlett Cormack (adaptation), Del Andrews (scenario), Tom Miranda (titles)",7.1,Lewis Milestone,"Thomas Meighan, Louis Wolheim, Marie Prevost, G. Pat Collins","Crime, Drama, Film-Noir",movie,513,84,0,USA,English,Crime,Lewis Milestone,Bartlett Cormack (from the stage success of)
1928,Beggars of Life,0,NA,English,USA,"Benjamin Glazer (adaptation), Jim Tully (story)",7.8,William A. Wellman,"Wallace Beery, Louise Brooks, Richard Arlen, Blue Washington","Adventure, Drama",movie,446,100,0,USA,English,Adventure,William A. Wellman,Benjamin Glazer (adaptation)
1928,The Power of the Press,0,NA,English,USA,"Sonya Levien, Fred Thompson (screenplay), Fred Thompson (story)",6.5,Frank Capra,"Douglas Fairbanks Jr., Jobyna Ralston, Mildred Harris, Philo McCullough",Drama,movie,78,62,1,USA,English,Drama,Frank Capra,Sonya Levien
1928,The Patsy,1,Not Rated,English,USA,"Barry Conners (story), Agnes Christine Johnston (adaptation), Ralph Spence (titles)",8.2,King Vidor,"Marion Davies, Orville Caldwell, Marie Dressler, Lawrence Gray","Comedy, Drama, Romance",movie,NA,78,0,USA,English,Comedy,King Vidor,Barry Conners (story)
1928,While the City Sleeps,0,NA,English,USA,"Joseph Farnham (titles), A.P. Younger (story)",6.8,Jack Conway,"Lon Chaney, Anita Page, Carroll Nye, Wheeler Oakman","Crime, Drama",movie,104,66,0,USA,English,Crime,Jack Conway,Joseph Farnham (titles)
1929,Un chien andalou,0,Not Rated,French,France,"Salvador Dalí (scenario), Luis Buñuel (scenario)",7.9,Luis Buñuel,"Simone Mareuil, Pierre Batcheff","Short, Fantasy",movie,NA,16,0,France,French,Short,Luis Buñuel,Salvador Dalí (scenario)
1929,The Cocoanuts,0,NA,English,USA,"George S. Kaufman (book), Morrie Ryskind (adapted by)",7.3,"Robert Florey, Joseph Santley","The Marx Brothers, Zeppo Marx, Groucho Marx, Harpo Marx","Comedy, Musical",movie,NA,96,0,USA,English,Comedy,Robert Florey,George S. Kaufman (book)
1929,Welcome Danger,0,NA,English,USA,"Paul Girard Smith (dialogue), Felix Adler (story), Lex Neal (story), Clyde Bruckman (story)",6.2,"Clyde Bruckman, Malcolm St. Clair","Harold Lloyd, Barbara Kent, Noah Young, Charles Middleton",Comedy,movie,410,113,0,USA,English,Comedy,Clyde Bruckman,Paul Girard Smith (dialogue)
1929,Pandora’s Box (Die B&uuml;chse der Pandora),1,Not Rated,German,Germany,"Frank Wedekind (plays), Ladislaus Vajda (scenario)",8,Georg Wilhelm Pabst,"Louise Brooks, Fritz Kortner, Francis Lederer, Carl Goetz","Crime, Drama, Romance",movie,NA,109,0,Germany,German,Crime,Georg Wilhelm Pabst,Frank Wedekind (plays)
1930,All Quiet on the Western Front,0,Unrated,"English, French, German, Latin",USA,"Erich Maria Remarque (by), Maxwell Anderson (adaptation), George Abbott (screen play), Del Andrews (adaptation), C. Gardner Sullivan (supervising story chief)",8.1,Lewis Milestone,"Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy","Drama, War",movie,NA,136,1,USA,English,Drama,Lewis Milestone,Erich Maria Remarque (by)
1930,Anna Christie,1,NA,English,USA,"Frances Marion (adapted by), Eugene O'Neill (from play ""Anna Christie"")",7,Clarence Brown,"Greta Garbo, Charles Bickford, George F. Marion, Marie Dressler","Drama, Romance",movie,NA,89,0,USA,English,Drama,Clarence Brown,Frances Marion (adapted by)
1930,Ladies of Leisure,1,NA,English,USA,"David Belasco (adapted from stage play), Milton Herbert Gropper (adapted from stage play), Jo Swerling (adaptation)",6.8,Frank Capra,"Barbara Stanwyck, Ralph Graves, Lowell Sherman, Marie Prevost","Drama, Romance",movie,540,99,0,USA,English,Drama,Frank Capra,David Belasco (adapted from stage play)
1930,L’Age d&#39;Or,0,NA,French,France,"Luis Buñuel (scenario), Salvador Dalí (scenario)",7.6,Luis Buñuel,"Gaston Modot, Lya Lys, Caridad de Laberdesque, Max Ernst","Comedy, Drama",movie,NA,63,0,France,French,Comedy,Luis Buñuel,Luis Buñuel (scenario)
1930,Morocco,0,NA,"English, French, Spanish, Arabic, Italian",USA,"Jules Furthman (adapted by), Benno Vigny (from the play ""Amy Jolly"" by)",7.3,Josef von Sternberg,"Gary Cooper, Marlene Dietrich, Adolphe Menjou, Ullrich Haupt","Romance, Drama",movie,NA,92,1,USA,English,Romance,Josef von Sternberg,Jules Furthman (adapted by)
1930,Min and Bill,1,NA,English,USA,"Lorna Moon (suggested from the book: ""Dark Star"" by), Frances Marion (scenario and dialogue), Marion Jackson (scenario and dialogue)",7.5,George W. Hill,"Marie Dressler, Wallace Beery, Dorothy Jordan, Marjorie Rambeau","Comedy, Drama",movie,950,69,0,USA,English,Comedy,George W. Hill,"Lorna Moon (suggested from the book: ""Dark Star"" by)"
1930,Be Yourself,0,NA,English,USA,"Max Marcin (adapted by), Thornton Freeland (adapted by), Joseph Jackson (from an original story by)",5.8,Thornton Freeland,"Fanny Brice, Robert Armstrong, Harry Green, G. Pat Collins","Comedy, Musical",movie,100,65,0,USA,English,Comedy,Thornton Freeland,Max Marcin (adapted by)
1931,M,1,Not Rated,German,Germany,"Thea von Harbou (script), Fritz Lang (script)",8.5,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke","Crime, Drama, Thriller",movie,NA,99,1,Germany,German,Crime,Fritz Lang,Thea von Harbou (script)
1931,M&auml;dchen in Uniform,1,NA,German,Germany,"Christa Winsloe (screenplay), Friedrich Dammann (screenplay), Christa Winsloe (play)",7.7,"Leontine Sagan, Carl Froelich","Emilia Unda, Dorothea Wieck, Hedwig Schlichter, Hertha Thiele","Drama, Romance",movie,NA,87,1,Germany,German,Drama,Leontine Sagan,Christa Winsloe (screenplay)
1931,Night Nurse,1,TV-G,"English, Cantonese",USA,"Grace Perkins (from the novel by), Oliver H.P. Garrett (screenplay), Charles Kenyon (additional dialogue)",7,William A. Wellman,"Barbara Stanwyck, Ben Lyon, Joan Blondell, Clark Gable","Crime, Drama, Mystery",movie,NA,72,0,USA,English,Crime,William A. Wellman,Grace Perkins (from the novel by)
1931,Frankenstein,0,Unrated,"English, Latin",USA,"John L. Balderston (based upon the composition by), Mary Shelley (from the novel by), Peggy Webling (adapted from the play by), Garrett Fort (screen play), Francis Edward Faragoh (screen play), Richard Schayer (scenario editor)",8,James Whale,"Colin Clive, Mae Clarke, John Boles, Boris Karloff","Horror, Sci-Fi",movie,NA,70,1,USA,English,Horror,James Whale,John L. Balderston (based upon the composition by)
1931,Anna Christie,1,TV-PG,German,USA,"Walter Hasenclever (German dialogue), Frances Marion (adaptation), Eugene O'Neill (play), Frank Reicher (German screenplay)",7.2,Jacques Feyder,"Greta Garbo, Theo Shall, Hans Junkermann, Salka Viertel",Drama,movie,528,85,0,USA,German,Drama,Jacques Feyder,Walter Hasenclever (German dialogue)
1931,Mata Hari,1,NA,English,USA,"Benjamin Glazer (by), Leo Birinsky (by), Doris Anderson (additional dialogue), Gilbert Emery (additional dialogue)",6.7,George Fitzmaurice,"Greta Garbo, Ramon Novarro, Lionel Barrymore, Lewis Stone","Drama, Romance",movie,NA,89,0,USA,English,Drama,George Fitzmaurice,Benjamin Glazer (by)
1931,Tabu: A Story of the South Seas,0,TV-PG,English,USA,"F.W. Murnau (told by), Robert J. Flaherty (told by)",7.7,F.W. Murnau,"Matahi, Anne Chevalier, Bill Bambridge, Hitu","Drama, Romance, Adventure",movie,NA,86,1,USA,English,Drama,F.W. Murnau,F.W. Murnau (told by)
1931,Indiscreet,1,NA,English,USA,"Buddy G. DeSylva (story), Lew Brown (story), Buddy G. DeSylva (scenario), Lew Brown (scenario), Ray Henderson (scenario)",8.2,Leo McCarey,"Gloria Swanson, Ben Lyon, Monroe Owsley, Barbara Kent","Drama, Musical, Romance",movie,NA,92,0,USA,English,Drama,Leo McCarey,Buddy G. DeSylva (story)
1931,The Last Flight,0,Not Rated,"English, French",USA,"John Monk Saunders (novel), John Monk Saunders (screenplay), Byron Morgan (continuity)",7.9,William Dieterle,"Richard Barthelmess, David Manners, Johnny Mack Brown, Helen Chandler",Drama,movie,NA,76,0,USA,English,Drama,William Dieterle,John Monk Saunders (novel)
1931,Pardon Us,0,NA,English,USA,H.M. Walker (dialogue),7.1,James Parrott,"Stan Laurel, Oliver Hardy, June Marlowe, Wilfred Lucas","Comedy, Crime, Drama",movie,NA,56,0,USA,English,Comedy,James Parrott,H.M. Walker (dialogue)
1931,Dracula,0,Approved,"English, Hungarian, Latin",USA,"Bram Stoker (by), Hamilton Deane (from the play adapted by), John L. Balderston (from the play adapted by), Garrett Fort (play)",7.7,"Tod Browning, Karl Freund","Bela Lugosi, Helen Chandler, David Manners, Dwight Frye",Horror,movie,NA,75,1,USA,English,Horror,Tod Browning,Bram Stoker (by)
1931,Monkey Business,0,Unrated,English,USA,"S.J. Perelman (by), Will B. Johnstone (by), Arthur Sheekman (additional dialogue)",7.6,Norman Z. McLeod,"The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx",Comedy,movie,NA,77,0,USA,English,Comedy,Norman Z. McLeod,S.J. Perelman (by)
1931,City Lights,1,NA,English,USA,Charles Chaplin,8.7,Charles Chaplin,"Virginia Cherrill, Florence Lee, Florence Lee, Harry Myers","Comedy, Drama, Romance",movie,NA,87,1,USA,English,Comedy,Charles Chaplin,Charles Chaplin
1931,The Smiling Lieutenant,0,NA,"English, French",USA,"Leopold Jacobson (operetta), Felix Dormann (operetta), Hans Müller (novel), Ernest Vajda (screenplay), Samson Raphaelson (screenplay)",8,Ernst Lubitsch,"Maurice Chevalier, Claudette Colbert, Miriam Hopkins, Charles Ruggles","Comedy, Romance, Musical",movie,NA,93,0,USA,English,Comedy,Ernst Lubitsch,Leopold Jacobson (operetta)
1932,I Am a Fugitive from a Chain Gang,0,Not Rated,English,USA,"Robert E. Burns (by), Howard J. Green (screen play), Brown Holmes (screen play)",8,Mervyn LeRoy,"Paul Muni, Glenda Farrell, Helen Vinson, Noel Francis","Crime, Drama, Film-Noir",movie,NA,92,1,USA,English,Crime,Mervyn LeRoy,Robert E. Burns (by)
1932,Grand Hotel,1,NA,"English, Russian",USA,"Vicki Baum (by), William A. Drake (play)",7.7,Edmund Goulding,"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery","Drama, Romance",movie,NA,112,1,USA,English,Drama,Edmund Goulding,Vicki Baum (by)
1932,The Age of Consent,0,NA,English,USA,"Martin Flavin (play), Sarah Y. Mason (screenplay), Francis M. Cockrell (screenplay)",6,Gregory La Cava,"Dorothy Wilson, Arline Judge, Richard Cromwell, Eric Linden","Drama, Romance",movie,176,63,0,USA,English,Drama,Gregory La Cava,Martin Flavin (play)
1932,Horse Feathers,0,NA,English,USA,"Bert Kalmar (by), Harry Ruby (by), S.J. Perelman (by), Will B. Johnstone (by)",7.7,Norman Z. McLeod,"The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx","Comedy, Musical, Romance",movie,NA,68,0,USA,English,Comedy,Norman Z. McLeod,Bert Kalmar (by)
1932,White Zombie,0,NA,English,USA,"Garnett Weston (story), Garnett Weston (dialogue)",6.5,Victor Halperin,"Bela Lugosi, Madge Bellamy, Joseph Cawthorn, Robert Frazer",Horror,movie,NA,69,0,USA,English,Horror,Victor Halperin,Garnett Weston (story)
1932,Boudu Saved from Drowning,0,Not Rated,French,France,René Fauchois (play),7.6,Jean Renoir,"Michel Simon, Marcelle Hainia, Sévérine Lerczinska, Jean Gehret",Comedy,movie,NA,85,0,France,French,Comedy,Jean Renoir,René Fauchois (play)
1932,The Most Dangerous Game,0,Not Rated,"English, Russian",USA,"James Ashmore Creelman (screenplay), Richard Connell (story)",7.3,"Irving Pichel, Ernest B. Schoedsack","Joel McCrea, Fay Wray, Robert Armstrong, Leslie Banks","Adventure, Horror, Mystery",movie,NA,63,0,USA,English,Adventure,Irving Pichel,James Ashmore Creelman (screenplay)
1932,Freaks,0,Unrated,"English, German, French",USA,"Clarence Aaron 'Tod' Robbins (suggested by story: ""Spurs"")",8,Tod Browning,"Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates","Drama, Horror, Thriller",movie,NA,64,1,USA,English,Drama,Tod Browning,"Clarence Aaron 'Tod' Robbins (suggested by story: ""Spurs"")"
1932,Island of Lost Souls,0,Unrated,English,USA,"Waldemar Young (screen play), Philip Wylie (screen play), H.G. Wells (from a novel by)",7.6,Erle C. Kenton,"Charles Laughton, Richard Arlen, Leila Hyams, Bela Lugosi","Adventure, Horror, Romance",movie,NA,70,0,USA,English,Adventure,Erle C. Kenton,Waldemar Young (screen play)
1932,The Old Dark House,1,TV-G,English,USA,"J.B. Priestley (from the novel by), Benn W. Levy (screen play)",7.4,James Whale,"Boris Karloff, Melvyn Douglas, Charles Laughton, Lilian Bond","Comedy, Horror",movie,NA,72,0,USA,English,Comedy,James Whale,J.B. Priestley (from the novel by)
1933,Footlight Parade,1,G,"English, French",USA,"Manuel Seff (screen play), James Seymour (screen play)",7.7,Lloyd Bacon,"James Cagney, Joan Blondell, Ruby Keeler, Dick Powell","Comedy, Musical, Romance",movie,NA,104,1,USA,English,Comedy,Lloyd Bacon,Manuel Seff (screen play)
1933,Queen Christina,1,Approved,"English, Spanish",USA,"H.M. Harwood (screen play), Salka Viertel (screen play), Salka Viertel (from the original story by), Margaret P. Levino (from the original story by), S.N. Behrman (dialogue)",7.9,Rouben Mamoulian,"Greta Garbo, John Gilbert, Ian Keith, Lewis Stone","Biography, Drama, History",movie,NA,99,0,USA,English,Biography,Rouben Mamoulian,H.M. Harwood (screen play)
1933,The Private Life of Henry VIII.,0,NA,English,UK,"Lajos Biró (story), Arthur Wimperis (story), Arthur Wimperis (scenario)",7.3,Alexander Korda,"Charles Laughton, Robert Donat, Franklin Dyall, Miles Mander","Biography, Comedy, Drama",movie,NA,97,1,UK,English,Biography,Alexander Korda,Lajos Biró (story)
1933,King Kong,0,Unrated,English,USA,"James Ashmore Creelman (screen play), Ruth Rose (screen play), Merian C. Cooper (from an idea conceived by), Edgar Wallace (from an idea conceived by)",8,"Merian C. Cooper, Ernest B. Schoedsack","Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher","Adventure, Fantasy, Horror",movie,NA,100,1,USA,English,Adventure,Merian C. Cooper,James Ashmore Creelman (screen play)
